feature,importance,gene_symbol,gene_name
NP_000841,0.0009259628131985664,GSTM4,glutathione S-transferase Mu 4 isoform 1
NP_003761,0.0009231643052771688,KRT37,"keratin, type I cuticular Ha7"
NP_742086,0.0009214620804414153,,TNFSF12-TNFSF13 protein
NP_002635,0.0009172831778414547,PIGR,polymeric immunoglobulin receptor precursor
NP_005969,0.0009126847144216299,S100A2,protein S100-A2
NP_001138783,0.000911260605789721,PLIN1,perilipin-1
NP_003218,0.0009059232543222606,TFR2,transferrin receptor protein 2 isoform 1
NP_000840,0.0009026660700328648,GSTM3,glutathione S-transferase Mu 3
NP_001729,0.0009001553407870233,CA1,carbonic anhydrase 1
NP_477521,0.0008999743731692433,MUCL1,mucin-like protein 1 precursor
NP_002268,0.0008995499811135232,KRT31,"keratin, type I cuticular Ha1"
NP_001121695,0.0008909932803362608,,zinc finger protein 717
NP_060573,0.0008902637055143714,LRRC8D,leucine-rich repeat-containing protein 8D
NP_115928,0.0008892699261195958,SLITRK2,SLIT and NTRK-like protein 2 precursor
NP_055676,0.0008842055103741586,ATP2C2,calcium-transporting ATPase type 2C member 2
NP_068818,0.0008813516469672322,,"major histocompatibility complex, class II, DR beta 4 precursor"
NP_001092874,0.0008812620071694255,SCN5A,sodium channel protein type 5 subunit alpha isoform c
NP_002605,0.0008783616940490901,PDZK1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3 isoform 1
NP_055836,0.0008780310163274407,ZNF292,zinc finger protein 292
NP_001130,0.000870782823767513,ALOX12B,"arachidonate 12-lipoxygenase, 12R-type"
NP_003713,0.0008687640074640512,TP63,tumor protein 63 isoform 1
NP_057017,0.0008686963119544089,CCDC72,translation machinery-associated protein 7
NP_079195,0.0008671639952808619,FRMD1,FERM domain-containing protein 1 isoform 1
NP_001116146,0.0008664390770718455,ABCD3,ATP-binding cassette sub-family D member 3 isoform b
NP_002449,0.0008635513368062675,,mucin-5B precursor
NP_001116224,0.0008588384953327477,SERPINI1,neuroserpin precursor
NP_001017989,0.0008503959397785366,OPA3,optic atrophy 3 protein isoform a
NP_002668,0.0008458793163299561,PMP2,myelin P2 protein
